央视频道,#genre#
福建新闻,http://txfjyd.484947.xyz/PLTV/88888888/224/3221227180/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建电视剧,http://txfjyd.484947.xyz/PLTV/88888888/224/3221227079/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建乡村,http://txfjyd.484947.xyz/PLTV/88888888/224/3221227153/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建经济,http://txfjyd.484947.xyz/PLTV/88888888/224/3221227184/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建体育,http://txfjyd.484947.xyz/PLTV/88888888/224/3221227188/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建旅游,http://txfjyd.484947.xyz/PLTV/88888888/224/3221227190/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福建少儿,http://txfjyd.484947.xyz/PLTV/88888888/224/3221227194/index.m3u8?servicetype=1&IASHttpSessionId=OTT

NewTV,#genre#
黑莓电影,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225891/index.m3u8?servicetype=1&IASHttpSessionId=OTT
黑莓动画,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225878/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV精品大剧,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225889/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV古装剧场,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225880/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV军旅剧场,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225887/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV家庭剧场,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225882/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV热播精选,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225881/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV爱情喜剧,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225877/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV动作电影,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225879/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV惊悚悬疑,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225885/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV金牌综艺,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225884/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV精品体育,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225886/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NewTV精品萌宠,http://txfjyd.484947.xyz/PLTV/88888888/224/3221227183/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV中国功夫,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225896/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV怡伴健康,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225883/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV潮妈辣婆,http://txfjyd.484947.xyz/PLTV/88888888/224/3221226107/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NewTV哒啵赛事,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225894/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NewTV哒啵电竞,http://txfjyd.484947.xyz/PLTV/88888888/224/3221227252/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NewTV精品记录,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225888/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV军事评论,http://txfjyd.484947.xyz/PLTV/88888888/224/3221225890/index.m3u8?servicetype=1&IASHttpSessionId=OTT
NEWTV炫舞未来,http://txfjyd.484947.xyz/PLTV/88888888/224/3221226699/index.m3u8?servicetype=1&IASHttpSessionId=OTT

测试2,#genre#
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali2
J2,http://php.jdshipin.com/TVOD/iptv.php?id=j2
TVB星河,http://php.jdshipin.com:8880/PLTV/iptv.php?id=xinghe
TVB亚洲武侠,http://php.jdshipin.com/TVOD/iptv.php?id=yzwx
明珠台,http://qjrhc.jydjd.top:2911/udp/224.1.100.123:11111
无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
无线娱乐新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbylxw
美亚电影台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya
MOMOTV,rtmp://f13h.mine.nu/sat/tv761
TVBSNEWS,http://61.221.215.25:8800/hls/9/index.m3u8
东森超视,rtmp://f13h.mine.nu/sat/tv331
Eleven体育,rtmp://f13h.mine.nu/sat/tv731
Eleven体育1,rtmp://f13h.mine.nu/sat/tv741
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
纬来日本,rtmp://f13h.mine.nu/sat/tv771
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来体育,rtmp://f13h.mine.nu/sat/tv721

台湾电信,#genre#
amc電影台,http://61.218.250.142:11001/rtp/224.1.4.43:11111
amc電影台,http://61.218.250.142:11001/rtp/230.1.2.157:11111
Animax,http://61.218.250.142:11001/rtp/224.1.4.237:11111
Animax,http://61.218.250.142:11001/rtp/230.1.2.77:11111
Arirang TV,http://61.218.250.142:11001/rtp/224.1.4.184:11111
Arirang TV,http://61.218.250.142:11001/rtp/224.1.4.92:11111
ROCK ACTION,http://61.218.250.142:11001/rtp/230.1.2.181:11111
BBC Earth,http://61.218.250.142:11001/rtp/230.1.2.172:11111
BBC Earth,http://61.218.250.142:11001/rtp/230.1.2.9:11111
BBC Lifestyle Channel,http://61.218.250.142:11001/rtp/230.1.2.10:11111
BBC Lifestyle Channel,http://61.218.250.142:11001/rtp/230.1.2.173:11111
BBC World News,http://61.218.250.142:11001/rtp/224.1.4.52:11111
BBC World News,http://61.218.250.142:11001/rtp/230.1.2.250:11111
Bloomberg TV,http://61.218.250.142:11001/rtp/224.1.4.197:11111
Bloomberg TV,http://61.218.250.142:11001/rtp/224.1.4.79:11111
CARTOONITO,http://61.218.250.142:11001/rtp/224.1.4.15:11111
CARTOONITO,http://61.218.250.142:11001/rtp/224.1.4.161:11111
CatchPlay電影台,http://61.218.250.142:11001/rtp/230.1.2.217:11111
CatchPlay電影台,http://61.218.250.142:11001/rtp/230.1.2.37:11111
CBeebies,http://61.218.250.142:11001/rtp/224.1.4.213:11111
CBeebies,http://61.218.250.142:11001/rtp/224.1.4.75:11111
Channel NewsAsia頻道,http://61.218.250.142:11001/rtp/224.1.4.139:11111
Channel NewsAsia頻道,http://61.218.250.142:11001/rtp/230.1.2.11:11111
CinemaWorld,http://61.218.250.142:11001/rtp/230.1.2.201:11111
CinemaWorld,http://61.218.250.142:11001/rtp/230.1.2.222:11111
CinemaWorld,http://61.218.250.142:11001/rtp/230.1.2.3:11111
CMusic,http://61.218.250.142:11001/rtp/224.1.4.159:11111
CMusic,http://61.218.250.142:11001/rtp/230.1.2.60:11111
CNBC Asia Channel,http://61.218.250.142:11001/rtp/224.1.4.118:11111
CNBC Asia Channel,http://61.218.250.142:11001/rtp/224.1.4.140:11111
CNN International,http://61.218.250.142:11001/rtp/224.1.4.235:11111
CNN International,http://61.218.250.142:11001/rtp/230.1.2.69:11111
Discovery Asia,http://61.218.250.142:11001/rtp/230.1.2.168:11111
Discovery Asia,http://61.218.250.142:11001/rtp/230.1.2.6:11111
Discovery科學頻道,http://61.218.250.142:11001/rtp/230.1.2.12:11111
Discovery科學頻道,http://61.218.250.142:11001/rtp/230.1.2.212:11111
DMAX,http://61.218.250.142:11001/rtp/230.1.2.13:11111
DMAX,http://61.218.250.142:11001/rtp/230.1.2.213:11111
DreamWorks,http://61.218.250.142:11001/rtp/224.1.4.121:11111
DreamWorks,http://61.218.250.142:11001/rtp/224.1.4.177:11111
德國之聲電視台,http://61.218.250.142:11001/rtp/224.1.4.120:11111
德國之聲電視台,http://61.218.250.142:11001/rtp/224.1.4.147:11111
ELEVEN SPORTS PLUS,http://61.218.250.142:11001/rtp/224.1.4.115:11111
ELEVEN SPORTS PLUS,http://61.218.250.142:11001/rtp/224.1.4.189:11111
ELEVEN SPORTS 2,http://61.218.250.142:11001/rtp/224.1.4.156:11111
ELEVEN SPORTS 2,http://61.218.250.142:11001/rtp/230.1.2.79:11111
ELTV生活英語台,http://61.218.250.142:11001/rtp/224.1.4.216:11111
ELTV生活英語台,http://61.218.250.142:11001/rtp/230.1.2.83:11111
ETtoday綜合台,http://61.218.250.142:11001/rtp/224.1.4.212:11111
Euronews,http://61.218.250.142:11001/rtp/224.1.4.119:11111
EUROSPORT,http://61.218.250.142:11001/rtp/224.1.4.135:11111
EVE,http://61.218.250.142:11001/rtp/230.1.2.14:11111
EVE,http://61.218.250.142:11001/rtp/230.1.2.214:11111
EYE TV戲劇台,http://61.218.250.142:11001/rtp/224.1.4.60:11111
EYE TV戲劇台,http://61.218.250.142:11001/rtp/230.1.2.134:11111
EYE TV旅遊台,http://61.218.250.142:11001/rtp/224.1.4.192:11111
EYE TV旅遊台,http://61.218.250.142:11001/rtp/224.1.4.61:11111
EYE TV旅遊台,http://61.218.250.142:11001/rtp/230.1.2.135:11111
時尚頻道,http://61.218.250.142:11001/rtp/230.1.2.177:11111
Food Network 美食台頻道,http://61.218.250.142:11001/rtp/224.1.4.211:11111
Food Network 美食台頻道,http://61.218.250.142:11001/rtp/224.1.4.57:11111
FRANCE24(English),http://61.218.250.142:11001/rtp/224.1.4.166:11111
FRANCE24(English),http://61.218.250.142:11001/rtp/230.1.2.24:11111
FRANCE24(French),http://61.218.250.142:11001/rtp/230.1.2.15:11111
Global Trekker,http://61.218.250.142:11001/rtp/224.1.4.162:11111
Global Trekker,http://61.218.250.142:11001/rtp/224.1.4.82:11111
GOOD TV 2,http://61.218.250.142:11001/rtp/224.1.4.122:11111
GOOD TV 2,http://61.218.250.142:11001/rtp/230.1.2.151:11111
HGTV 居家樂活頻道,http://61.218.250.142:11001/rtp/224.1.4.183:11111
HGTV 居家樂活頻道,http://61.218.250.142:11001/rtp/224.1.4.80:11111
HITS,http://61.218.250.142:11001/rtp/224.1.4.136:11111
i-Fun動漫台,http://61.218.250.142:11001/rtp/230.1.2.223:11111
i-Fun動漫台,http://61.218.250.142:11001/rtp/230.1.2.26:11111
INULTRA,http://61.218.250.142:11001/rtp/230.1.2.145:11111
Lifetime,http://61.218.250.142:11001/rtp/224.1.4.230:11111
Lifetime,http://61.218.250.142:11001/rtp/230.1.2.64:11111
LOVE NATURE,http://61.218.250.142:11001/rtp/224.1.4.182:11111
LUXE TV Channel,http://61.218.250.142:11001/rtp/230.1.2.16:11111
LUXE TV Channel,http://61.218.250.142:11001/rtp/230.1.2.176:11111
My Cinema Europe HD 我的歐洲電影,http://61.218.250.142:11001/rtp/230.1.2.129:11111
Mezzo Live HD,http://61.218.250.142:11001/rtp/224.1.4.240:11111
Mezzo Live HD,http://61.218.250.142:11001/rtp/230.1.2.81:11111
MOD 4K LIVE,http://61.218.250.142:11001/rtp/230.1.2.203:11111
MOD電影推薦內容,http://61.218.250.142:11001/rtp/224.1.4.196:11111
MOD影劇推薦內容,http://61.218.250.142:11001/rtp/224.1.4.102:11111
MOD影劇推薦內容,http://61.218.250.142:11001/rtp/224.1.4.160:11111
MOD影劇推薦內容,http://61.218.250.142:11001/rtp/224.1.4.98:11111
momo1台,http://61.218.250.142:11001/rtp/224.1.4.229:11111
momo1台,http://61.218.250.142:11001/rtp/230.1.2.63:11111
momo2台,http://61.218.250.142:11001/rtp/224.1.4.217:11111
momo2台,http://61.218.250.142:11001/rtp/230.1.2.90:11111
MTV Live,http://61.218.250.142:11001/rtp/230.1.2.246:11111
MTV Live,http://61.218.250.142:11001/rtp/230.1.2.86:11111
MTV綜合電視台,http://61.218.250.142:11001/rtp/230.1.2.231:11111
MTV綜合電視台,http://61.218.250.142:11001/rtp/230.1.2.43:11111
NBA動態,http://61.218.250.142:11001/rtp/224.1.4.144:11111
NHK新聞資訊台,http://61.218.250.142:11001/rtp/224.1.4.137:11111
Nice TV 靖天歡樂台,http://61.218.250.142:11001/rtp/224.1.4.105:11111
Nice TV 靖天歡樂台,http://61.218.250.142:11001/rtp/230.1.2.241:11111
Nickelodeon Asia(尼克兒童頻道),http://61.218.250.142:11001/rtp/224.1.4.249:11111
Nick Jr.,http://61.218.250.142:11001/rtp/224.1.4.179:11111
Nick Jr.,http://61.218.250.142:11001/rtp/224.1.4.45:11111
Nick Jr.,http://61.218.250.142:11001/rtp/224.1.4.58:11111
PET CLUB TV,http://61.218.250.142:11001/rtp/224.1.4.124:11111
PET CLUB TV,http://61.218.250.142:11001/rtp/230.1.2.130:11111
ROCK Entertainment,http://61.218.250.142:11001/rtp/224.1.4.131:11111
ROCK Entertainment,http://61.218.250.142:11001/rtp/224.1.4.14:11111
ROCK Extreme,http://61.218.250.142:11001/rtp/224.1.4.146:11111
ROCK Extreme,http://61.218.250.142:11001/rtp/224.1.4.99:11111
Smart知識台,http://61.218.250.142:11001/rtp/224.1.4.171:11111
Smart知識台,http://61.218.250.142:11001/rtp/224.1.4.22:11111
TaiwanPlus,http://61.218.250.142:11001/rtp/230.1.2.210:11111
TaiwanPlus,http://61.218.250.142:11001/rtp/230.1.2.30:11111
TechStorm,http://61.218.250.142:11001/rtp/224.1.4.11:11111
TECHStorm,http://61.218.250.142:11001/rtp/230.1.2.159:11111
時尚頻道,http://61.218.250.142:11001/rtp/230.1.2.25:11111
TRACE Sport Stars,http://61.218.250.142:11001/rtp/224.1.4.242:11111
TRACE Sport Stars,http://61.218.250.142:11001/rtp/230.1.2.84:11111
TRACE Urban,http://61.218.250.142:11001/rtp/224.1.4.241:11111
TRACE Urban,http://61.218.250.142:11001/rtp/230.1.2.82:11111
Travel Channel,http://61.218.250.142:11001/rtp/230.1.2.166:11111
Travel Channel,http://61.218.250.142:11001/rtp/230.1.2.4:11111
TV5MONDE STYLE HD,http://61.218.250.142:11001/rtp/224.1.4.108:11111
TV5MONDE STYLE HD,http://61.218.250.142:11001/rtp/224.1.4.208:11111
TV5MONDE,http://61.218.250.142:11001/rtp/224.1.4.148:11111
TV5MONDE,http://61.218.250.142:11001/rtp/224.1.4.16:11111
TVBS,http://61.218.250.142:11001/rtp/224.1.4.153:11111
TVBS,http://61.218.250.142:11001/rtp/224.1.4.24:11111
TVBS歡樂台,http://61.218.250.142:11001/rtp/224.1.4.154:11111
TVBS新聞台,http://61.218.250.142:11001/rtp/224.1.4.13:11111
TVBS新聞台,http://61.218.250.142:11001/rtp/224.1.4.152:11111
TVBS精采台,http://61.218.250.142:11001/rtp/230.1.2.225:11111
TVBS精采台,http://61.218.250.142:11001/rtp/230.1.2.35:11111
tvN,http://61.218.250.142:11001/rtp/224.1.4.111:11111
tvN,http://61.218.250.142:11001/rtp/230.1.2.174:11111
人間衛視,http://61.218.250.142:11001/rtp/224.1.4.89:11111
人間衛視,http://61.218.250.142:11001/rtp/230.1.2.193:11111
八大優頻道,http://61.218.250.142:11001/rtp/224.1.4.86:11111
八大優頻道,http://61.218.250.142:11001/rtp/230.1.2.239:11111
三立戲劇台,http://61.218.250.142:11001/rtp/230.1.2.232:11111
三立戲劇台,http://61.218.250.142:11001/rtp/230.1.2.44:11111
三立財經新聞台,http://61.218.250.142:11001/rtp/230.1.2.191:11111
三立財經新聞台,http://61.218.250.142:11001/rtp/230.1.2.21:11111
三立綜合台,http://61.218.250.142:11001/rtp/230.1.2.192:11111
三立綜合台,http://61.218.250.142:11001/rtp/230.1.2.208:11111
三立綜合台,http://61.218.250.142:11001/rtp/230.1.2.22:11111
大立電視台,http://61.218.250.142:11001/rtp/224.1.4.142:11111
大立電視台,http://61.218.250.142:11001/rtp/224.1.4.73:11111
大愛電視,http://61.218.250.142:11001/rtp/224.1.4.54:11111
大愛電視,http://61.218.250.142:11001/rtp/230.1.2.190:11111
大愛二台,http://61.218.250.142:11001/rtp/230.1.2.199:11111
大愛二台,http://61.218.250.142:11001/rtp/230.1.2.29:11111
中信兄弟4K多視角,http://61.218.250.142:11001/rtp/224.1.4.127:11111
中視,http://61.218.250.142:11001/rtp/224.1.4.10:11111
中視,http://61.218.250.142:11001/rtp/230.1.2.228:11111
中視經典台,http://61.218.250.142:11001/rtp/224.1.4.219:11111
中視經典台,http://61.218.250.142:11001/rtp/224.1.4.33:11111
中視菁采台,http://61.218.250.142:11001/rtp/230.1.2.224:11111
中視菁采台,http://61.218.250.142:11001/rtp/230.1.2.34:11111
中視新聞台,http://61.218.250.142:11001/rtp/224.1.4.252:11111
中視新聞台,http://61.218.250.142:11001/rtp/224.1.4.50:11111
公視,http://61.218.250.142:11001/rtp/224.1.4.53:11111
公視,http://61.218.250.142:11001/rtp/230.1.2.230:11111
公視2台,http://61.218.250.142:11001/rtp/230.1.2.185:11111
公視3台,http://61.218.250.142:11001/rtp/224.1.4.228:11111
公視3台,http://61.218.250.142:11001/rtp/230.1.2.62:11111
公視台語台,http://61.218.250.142:11001/rtp/230.1.2.31:11111
歷史頻道,http://61.218.250.142:11001/rtp/230.1.2.216:11111
歷史頻道,http://61.218.250.142:11001/rtp/230.1.2.36:11111
天天電視台,http://61.218.250.142:11001/rtp/224.1.4.29:11111
天天電視台,http://61.218.250.142:11001/rtp/230.1.2.245:11111
世界羽球雜誌,http://61.218.250.142:11001/rtp/224.1.4.117:11111
世界羽球雜誌,http://61.218.250.142:11001/rtp/224.1.4.191:11111
東森購物1台,http://61.218.250.142:11001/rtp/224.1.4.163:11111
東森購物1台,http://61.218.250.142:11001/rtp/230.1.2.73:11111
東森購物2台,http://61.218.250.142:11001/rtp/224.1.4.168:11111
東森購物2台,http://61.218.250.142:11001/rtp/230.1.2.45:11111
東森購物3台,http://61.218.250.142:11001/rtp/224.1.4.169:11111
東森購物3台,http://61.218.250.142:11001/rtp/230.1.2.171:11111
東森購物3台,http://61.218.250.142:11001/rtp/230.1.2.8:11111
東森購物4台,http://61.218.250.142:11001/rtp/224.1.4.176:11111
東森購物4台,http://61.218.250.142:11001/rtp/230.1.2.95:11111
東森購物5台,http://61.218.250.142:11001/rtp/230.1.2.33:11111
半島英語新聞台Al Jazeera English,http://61.218.250.142:11001/rtp/230.1.2.128:11111
CLASSICA HD,http://61.218.250.142:11001/rtp/224.1.4.74:11111
CLASSICA HD,http://61.218.250.142:11001/rtp/230.1.2.139:11111
台視,http://61.218.250.142:11001/rtp/224.1.4.8:11111
台視,http://61.218.250.142:11001/rtp/230.1.2.227:11111
台視財經台,http://61.218.250.142:11001/rtp/224.1.4.248:11111
台視財經台,http://61.218.250.142:11001/rtp/224.1.4.32:11111
台視綜合台,http://61.218.250.142:11001/rtp/224.1.4.170:11111
台視綜合台,http://61.218.250.142:11001/rtp/224.1.4.31:11111
台視新聞台,http://61.218.250.142:11001/rtp/224.1.4.215:11111
台視新聞台,http://61.218.250.142:11001/rtp/230.1.2.99:11111
